page,paragraph,image_name
135,"If the DataFrame’s columns are different dtypes, the dtype of the values array will be chosen to accomodate all of the columns:",
135,"In [67]: frame2.values Out[67]:  array([[2000, Ohio, 1.5, nan],        [2001, Ohio, 1.7, -1.2],        [2002, Ohio, 3.6, nan],        [2001, Nevada, 2.4, -1.5],        [2002, Nevada, 2.9, -1.7]], dtype=object)",
135,Introduction to pandas Data Structures | 119,
136,Table 5-1. Possible data inputs to DataFrame constructor,
136,Type Notes,
136,"2D ndarray A matrix of data, passing optional row and column labels",
136,"dict of arrays, lists, or tuples Each sequence becomes a column in the DataFrame. All sequences must be the same length.",
136,NumPy structured/record array Treated as the “dict of arrays” case,
136,dict of Series Each value becomes a column. Indexes from each Series are unioned together to form the result’s row index if no explicit index is passed.,
136,dict of dicts Each inner dict becomes a column. Keys are unioned to form the row index as in the “dict of Series” case.,
136,list of dicts or Series Each item becomes a row in the DataFrame. Union of dict keys or Series indexes become the DataFrame’s column labels,
136,List of lists or tuples Treated as the “2D ndarray” case,
136,Another DataFrame The DataFrame’s indexes are used unless different ones are passed,
136,NumPy MaskedArray Like the “2D ndarray” case except masked values become NA/missing in the DataFrame result,
136,Index Objects,
136,pandas’s Index objects are responsible for holding the axis labels and other metadata (like the axis name or names). Any array or other sequence of labels used when con- structing a Series or DataFrame is internally converted to an Index:,
136,"In [68]: obj = Series(range(3), index=['a', 'b', 'c'])",
136,In [69]: index = obj.index,
136,"In [70]: index Out[70]: Index([a, b, c], dtype=object)",
136,"In [71]: index[1:] Out[71]: Index([b, c], dtype=object)",
136,Index objects are immutable and thus can’t be modified by the user:,
136,"In [72]: index[1] = 'd' --------------------------------------------------------------------------- Exception                                 Traceback (most recent call last) <ipython-input-72-676fdeb26a68> in <module>() ----> 1 index[1] = 'd' /Users/wesm/code/pandas/pandas/core/index.pyc in __setitem__(self, key, value)     302     def __setitem__(self, key, value):     303         """"""Disable the setting of values."""""" --> 304         raise Exception(str(self.__class__) + ' object is immutable')     305      306     def __getitem__(self, key): Exception: <class 'pandas.core.index.Index'> object is immutable",
136,120 | Chapter 5:   Getting Started with pandas,
137,Immutability is important so that Index objects can be safely shared among data structures:,
137,In [73]: index = pd.Index(np.arange(3)),
137,"In [74]: obj2 = Series([1.5, -2.5, 0], index=index)",
137,In [75]: obj2.index is index Out[75]: True,
137,"Table 5-2  has a list of built-in Index classes in the library. With some development effort, Index can even be subclassed to implement specialized axis indexing function- ality.",
137,"Many users will not need to know much about Index objects, but they’re nonetheless an important part of pandas’s data model.",
137,Table 5-2. Main Index objects in pandas,
137,Class Description,
137,"Index The most general Index object, representing axis labels in a NumPy array of Python objects.",
137,Int64Index Specialized Index for integer values.,
137,MultiIndex “Hierarchical” index object representing multiple levels of indexing on a single axis. Can be thought of as similar to an array of tuples.,
137,DatetimeIndex Stores nanosecond timestamps (represented using NumPy’s  datetime64  dtype).,
137,PeriodIndex Specialized Index for Period data (timespans).,
137,"In addition to being array-like, an Index also functions as a fixed-size set:",
137,In [76]: frame3 Out[76]:  state  Nevada  Ohio year                2000      NaN   1.5 2001      2.4   1.7 2002      2.9   3.6,
137,In [77]: 'Ohio' in frame3.columns Out[77]: True,
137,In [78]: 2003 in frame3.index Out[78]: False,
137,Each Index has a number of methods and properties for set logic and answering other common questions about the data it contains. These are summarized in  Table 5-3 .,
137,Introduction to pandas Data Structures | 121,
138,Table 5-3. Index methods and properties,
138,Method Description,
138,"append Concatenate with additional Index objects, producing a new Index",
138,diff Compute set difference as an Index,
138,intersection Compute set intersection,
138,union Compute set union,
138,isin Compute boolean array indicating whether each value is contained in the passed collection,
138,delete Compute new Index with element at index  i  deleted,
138,drop Compute new index by deleting passed values,
138,insert Compute new Index by inserting element at index  i,
138,is_monotonic Returns  True  if each element is greater than or equal to the previous element,
138,is_unique Returns  True  if the Index has no duplicate values,
138,unique Compute the array of unique values in the Index,
138,Essential Functionality,
138,"In this section, I’ll walk you through the fundamental mechanics of interacting with the data contained in a Series or DataFrame. Upcoming chapters will delve more deeply into data analysis and manipulation topics using pandas. This book is not intended to serve as exhaustive documentation for the pandas library; I instead focus on the most important features, leaving the less common (that is, more esoteric) things for you to explore on your own.",
138,Reindexing,
138,"A critical method on pandas objects is  reindex , which means to create a new object with the data  conformed  to a new index. Consider a simple example from above:",
138,"In [79]: obj = Series([4.5, 7.2, -5.3, 3.6], index=['d', 'b', 'a', 'c'])",
138,In [80]: obj Out[80]:  d    4.5 b    7.2 a   -5.3 c    3.6,
138,"Calling  reindex  on this Series rearranges the data according to the new index, intro- ducing missing values if any index values were not already present:",
138,"In [81]: obj2 = obj.reindex(['a', 'b', 'c', 'd', 'e'])",
138,In [82]: obj2 Out[82]:  a   -5.3,
138,122 | Chapter 5:   Getting Started with pandas,
139,b    7.2 c    3.6 d    4.5 e    NaN,
139,"In [83]: obj.reindex(['a', 'b', 'c', 'd', 'e'], fill_value=0) Out[83]:  a   -5.3 b    7.2 c    3.6 d    4.5 e    0.0",
139,"For ordered data like time series, it may be desirable to do some interpolation or filling of values when reindexing. The  method  option allows us to do this, using a method such as  ffill  which forward fills the values:",
139,"In [84]: obj3 = Series(['blue', 'purple', 'yellow'], index=[0, 2, 4])",
139,"In [85]: obj3.reindex(range(6), method='ffill') Out[85]:  0      blue 1      blue 2    purple 3    purple 4    yellow 5    yellow",
139,"Table 5-4  lists available  method  options. At this time, interpolation more sophisticated than forward- and backfilling would need to be applied after the fact.",
139,Table 5-4. reindex method (interpolation) options,
139,Argument Description,
139,ffill  or  pad Fill (or carry) values forward,
139,bfill  or  backfill Fill (or carry) values backward,
139,"With DataFrame,  reindex  can alter either the (row) index, columns, or both. When passed just a sequence, the rows are reindexed in the result:",
139,"In [86]: frame = DataFrame(np.arange(9).reshape((3, 3)), index=['a', 'c', 'd'],    ....:                   columns=['Ohio', 'Texas', 'California'])",
139,In [87]: frame Out[87]:     Ohio  Texas  California a     0      1           2 c     3      4           5 d     6      7           8,
139,"In [88]: frame2 = frame.reindex(['a', 'b', 'c', 'd'])",
139,In [89]: frame2 Out[89]: ,
139,Essential Functionality | 123,
140,   Ohio  Texas  California a     0      1           2 b   NaN    NaN         NaN c     3      4           5 d     6      7           8,
140,The columns can be reindexed using the  columns  keyword:,
140,"In [90]: states = ['Texas', 'Utah', 'California']",
140,In [91]: frame.reindex(columns=states) Out[91]:     Texas  Utah  California a      1   NaN           2 c      4   NaN           5 d      7   NaN           8,
140,"Both can be reindexed in one shot, though interpolation will only apply row-wise (axis 0):",
140,"In [92]: frame.reindex(index=['a', 'b', 'c', 'd'], method='ffill',    ....:               columns=states) Out[92]:     Texas  Utah  California a      1   NaN           2 b      1   NaN           2 c      4   NaN           5 d      7   NaN           8",
140,"As you’ll see soon, reindexing can be done more succinctly by label-indexing with  ix :",
140,"In [93]: frame.ix[['a', 'b', 'c', 'd'], states] Out[93]:     Texas  Utah  California a      1   NaN           2 b    NaN   NaN         NaN c      4   NaN           5 d      7   NaN           8",
140,Table 5-5. reindex function arguments,
140,Argument Description,
140,index New sequence to use as index. Can be  Index  instance or any other sequence-like Python data structure. An Index  will be used exactly as is without any copying,
140,"method Interpolation (fill) method, see  Table 5-4  for options.",
140,fill_value Substitute value to use when introducing missing data by reindexing,
140,"limit When forward- or backfilling, maximum size gap to fill",
140,"level Match simple Index on level of MultiIndex, otherwise select subset of",
140,copy Do not copy underlying data if new index is equivalent to old index.  True  by default (i.e. always copy data).,
140,124 | Chapter 5:   Getting Started with pandas,
141,Dropping entries from an axis,
141,"Dropping one or more entries from an axis is easy if you have an index array or list without those entries. As that can require a bit of munging and set logic, the  drop method will return a new object with the indicated value or values deleted from an axis:",
141,"In [94]: obj = Series(np.arange(5.), index=['a', 'b', 'c', 'd', 'e'])",
141,In [95]: new_obj = obj.drop('c'),
141,In [96]: new_obj Out[96]:  a    0 b    1 d    3 e    4,
141,"In [97]: obj.drop(['d', 'c']) Out[97]:  a    0 b    1 e    4",
141,"With DataFrame, index values can be deleted from either axis:",
141,"In [98]: data = DataFrame(np.arange(16).reshape((4, 4)),    ....:                  index=['Ohio', 'Colorado', 'Utah', 'New York'],    ....:                  columns=['one', 'two', 'three', 'four'])",
141,"In [99]: data.drop(['Colorado', 'Ohio']) Out[99]:            one  two  three  four Utah        8    9     10    11 New York   12   13     14    15",
141,"In [100]: data.drop('two', axis=1)      In [101]: data.drop(['two', 'four'], axis=1) Out[100]:                               Out[101]:                                              one  three  four                        one  three                         Ohio        0      2     3              Ohio        0      2                         Colorado    4      6     7              Colorado    4      6                         Utah        8     10    11              Utah        8     10                         New York   12     14    15              New York   12     14",
141,"Indexing, selection, and filtering",
141,"Series indexing ( obj[...] ) works analogously to NumPy array indexing, except you can use the Series’s index values instead of only integers. Here are some examples this:",
141,"In [102]: obj = Series(np.arange(4.), index=['a', 'b', 'c', 'd'])",
141,"In [103]: obj['b']          In [104]: obj[1] Out[103]: 1.0               Out[104]: 1.0                                                 In [105]: obj[2:4]          In [106]: obj[['b', 'a', 'd']] Out[105]:                   Out[106]:                     ",
141,Essential Functionality | 125,
142,"c    2                      b    1                         d    3                      a    0                                                     d    3                                                                                    In [107]: obj[[1, 3]]       In [108]: obj[obj < 2] Out[107]:                   Out[108]:              b    1                      a    0                 d    3                      b    1",
142,Slicing with labels behaves differently than normal Python slicing in that the endpoint is inclusive:,
142,In [109]: obj['b':'c'] Out[109]:  b    1 c    2,
142,Setting  using these methods works just as you would expect:,
142,In [110]: obj['b':'c'] = 5,
142,In [111]: obj Out[111]:  a    0 b    5 c    5 d    3,
142,"As you’ve seen above, indexing into a DataFrame is for retrieving one or more columns either with a single value or sequence:",
142,"In [112]: data = DataFrame(np.arange(16).reshape((4, 4)),    .....:                  index=['Ohio', 'Colorado', 'Utah', 'New York'],    .....:                  columns=['one', 'two', 'three', 'four'])",
142,In [113]: data Out[113]:            one  two  three  four Ohio        0    1      2     3 Colorado    4    5      6     7 Utah        8    9     10    11 New York   12   13     14    15,
142,"In [114]: data['two']        In [115]: data[['three', 'one']] Out[114]:                    Out[115]:                        Ohio         1                         three  one             Colorado     5               Ohio          2    0             Utah         9               Colorado      6    4             New York    13               Utah         10    8             Name: two                    New York     14   12",
142,Indexing like this has a few special cases. First selecting rows by slicing or a boolean array:,
142,In [116]: data[:2]                     In [117]: data[data['three'] > 5] Out[116]:                              Out[117]:                                   one  two  three  four                  one  two  three  four  ,
142,126 | Chapter 5:   Getting Started with pandas,
143,Ohio        0    1      2     3        Colorado    4    5      6     7   Colorado    4    5      6     7        Utah        8    9     10    11                                          New York   12   13     14    15,
143,"This might seem inconsistent to some readers, but this syntax arose out of practicality and nothing more. Another use case is in indexing with a boolean DataFrame, such as one produced by a scalar comparison:",
143,In [118]: data < 5 Out[118]:              one    two  three   four Ohio       True   True   True   True Colorado   True  False  False  False Utah      False  False  False  False New York  False  False  False  False,
143,In [119]: data[data < 5] = 0,
143,In [120]: data Out[120]:            one  two  three  four Ohio        0    0      0     0 Colorado    0    5      6     7 Utah        8    9     10    11 New York   12   13     14    15,
143,This is intended to make DataFrame syntactically more like an ndarray in this case.,
143,"For DataFrame label-indexing on the rows, I introduce the special indexing field  ix . It enables you to select a subset of the rows and columns from a DataFrame with NumPy- like notation plus axis labels. As I mentioned earlier, this is also a less verbose way to do reindexing:",
143,"In [121]: data.ix['Colorado', ['two', 'three']] Out[121]:  two      5 three    6 Name: Colorado",
143,"In [122]: data.ix[['Colorado', 'Utah'], [3, 0, 1]] Out[122]:            four  one  two Colorado     7    0    5 Utah        11    8    9",
143,"In [123]: data.ix[2]        In [124]: data.ix[:'Utah', 'two'] Out[123]:                   Out[124]:                         one       8                 Ohio        0                     two       9                 Colorado    5                     three    10                 Utah        9                     four     11                 Name: two                         Name: Utah                                                                                                                  In [125]: data.ix[data.three > 5, :3] Out[125]: ",
143,Essential Functionality | 127,
144,          one  two  three Colorado    0    5      6 Utah        8    9     10 New York   12   13     14,
144,"So there are many ways to select and rearrange the data contained in a pandas object. For DataFrame, there is a short summary of many of them in  Table 5-6 . You have a number of additional options when working with hierarchical indexes as you’ll later see.",
144,"When designing pandas, I felt that having to type  frame[:, col]  to select a column was too verbose (and error-prone), since column selection is one of the most common operations. Thus I made the design trade-off to push all of the rich label-indexing into  ix .",
144,Table 5-6. Indexing options with DataFrame,
144,Type Notes,
144,"obj[val] Select single column or sequence of columns from the DataFrame. Special case con- veniences: boolean array (filter rows), slice (slice rows), or boolean DataFrame (set values based on some criterion).",
144,obj.ix[val] Selects single row of subset of rows from the DataFrame.,
144,"obj.ix[:, val] Selects single column of subset of columns.",
144,"obj.ix[val1, val2] Select both rows and columns.",
144,reindex  method Conform one or more axes to new indexes.,
144,xs  method Select single row or column as a Series by label.,
144,"icol, irow  methods Select single column or row, respectively, as a Series by integer location.",
144,"get_value, set_value  methods Select single value by row and column label.",
144,Arithmetic and data alignment,
144,"One of the most important pandas features is the behavior of arithmetic between ob- jects with different indexes. When adding together objects, if any index pairs are not the same, the respective index in the result will be the union of the index pairs. Let’s look at a simple example:",
144,"In [126]: s1 = Series([7.3, -2.5, 3.4, 1.5], index=['a', 'c', 'd', 'e'])",
144,"In [127]: s2 = Series([-2.1, 3.6, -1.5, 4, 3.1], index=['a', 'c', 'e', 'f', 'g'])",
144,In [128]: s1        In [129]: s2 Out[128]:           Out[129]:    a    7.3            a   -2.1     c   -2.5            c    3.6     d    3.4            e   -1.5    ,
144,128 | Chapter 5:   Getting Started with pandas,
145,e    1.5            f    4.0                         g    3.1,
145,Adding these together yields:,
145,In [130]: s1 + s2 Out[130]:  a    5.2 c    1.1 d    NaN e    0.0 f    NaN g    NaN,
145,The internal data alignment introduces NA values in the indices that don’t overlap. Missing values propagate in arithmetic computations.,
145,"In the case of DataFrame, alignment is performed on both the rows and the columns:",
145,"In [131]: df1 = DataFrame(np.arange(9.).reshape((3, 3)), columns=list('bcd'),    .....:                 index=['Ohio', 'Texas', 'Colorado'])",
145,"In [132]: df2 = DataFrame(np.arange(12.).reshape((4, 3)), columns=list('bde'),    .....:                 index=['Utah', 'Ohio', 'Texas', 'Oregon'])",
145,In [133]: df1            In [134]: df2     Out[133]:                Out[134]:                   b  c  d                b   d   e Ohio      0  1  2        Utah    0   1   2 Texas     3  4  5        Ohio    3   4   5 Colorado  6  7  8        Texas   6   7   8                          Oregon  9  10  11,
145,Adding these together returns a DataFrame whose index and columns are the unions of the ones in each DataFrame:,
145,In [135]: df1 + df2 Out[135]:             b   c   d   e Colorado NaN NaN NaN NaN Ohio       3 NaN   6 NaN Oregon   NaN NaN NaN NaN Texas      9 NaN  12 NaN Utah     NaN NaN NaN NaN,
145,Arithmetic methods with fill values,
145,"In arithmetic operations between differently-indexed objects, you might want to fill with a special value, like 0, when an axis label is found in one object but not the other:",
145,"In [136]: df1 = DataFrame(np.arange(12.).reshape((3, 4)), columns=list('abcd'))",
145,"In [137]: df2 = DataFrame(np.arange(20.).reshape((4, 5)), columns=list('abcde'))",
145,In [138]: df1          In [139]: df2         Out[138]:              Out[139]:                a  b   c   d            a   b   c   d   e,
145,Essential Functionality | 129,
146,0  0  1   2   3        0   0   1   2   3   4 1  4  5   6   7        1   5   6   7   8   9 2  8  9  10  11        2  10  11  12  13  14                        3  15  16  17  18  19,
146,Adding these together results in NA values in the locations that don’t overlap:,
146,In [140]: df1 + df2 Out[140]:      a   b   c   d   e 0   0   2   4   6 NaN 1   9  11  13  15 NaN 2  18  20  22  24 NaN 3 NaN NaN NaN NaN NaN,
146,"Using the  add  method on  df1 , I pass  df2  and an argument to  fill_value :",
146,"In [141]: df1.add(df2, fill_value=0) Out[141]:      a   b   c   d   e 0   0   2   4   6   4 1   9  11  13  15   9 2  18  20  22  24  14 3  15  16  17  18  19",
146,"Relatedly, when reindexing a Series or DataFrame, you can also specify a different fill value:",
146,"In [142]: df1.reindex(columns=df2.columns, fill_value=0) Out[142]:     a  b   c   d  e 0  0  1   2   3  0 1  4  5   6   7  0 2  8  9  10  11  0",
146,Table 5-7. Flexible arithmetic methods,
146,Method Description,
146,add Method for addition (+),
146,sub Method for subtraction (-),
146,div Method for division (/),
146,mul Method for multiplication (*),
146,Operations between DataFrame and Series,
146,"As with NumPy arrays, arithmetic between DataFrame and Series is well-defined. First, as a motivating example, consider the difference between a 2D array and one of its rows:",
146,"In [143]: arr = np.arange(12.).reshape((3, 4))",
146,"In [144]: arr Out[144]:  array([[  0.,   1.,   2.,   3.],        [  4.,   5.,   6.,   7.],",
146,130 | Chapter 5:   Getting Started with pandas,
147,"       [  8.,   9.,  10.,  11.]])",
147,"In [145]: arr[0] Out[145]: array([ 0.,  1.,  2.,  3.])",
147,"In [146]: arr - arr[0] Out[146]:  array([[ 0.,  0.,  0.,  0.],        [ 4.,  4.,  4.,  4.],        [ 8.,  8.,  8.,  8.]])",
147,This is referred to as  broadcasting  and is explained in more detail in  Chapter 12 . Op- erations between a DataFrame and a Series are similar:,
147,"In [147]: frame = DataFrame(np.arange(12.).reshape((4, 3)), columns=list('bde'),    .....:                   index=['Utah', 'Ohio', 'Texas', 'Oregon'])",
147,In [148]: series = frame.ix[0],
147,In [149]: frame          In [150]: series Out[149]:                Out[150]:                b   d   e        b    0           Utah    0   1   2        d    1           Ohio    3   4   5        e    2           Texas   6   7   8        Name: Utah       Oregon  9  10  11,
147,"By default, arithmetic between DataFrame and Series matches the index of the Series on the DataFrame's columns, broadcasting down the rows:",
147,In [151]: frame - series Out[151]:          b  d  e Utah    0  0  0 Ohio    3  3  3 Texas   6  6  6 Oregon  9  9  9,
147,"If an index value is not found in either the DataFrame’s columns or the Series’s index, the objects will be reindexed to form the union:",
147,"In [152]: series2 = Series(range(3), index=['b', 'e', 'f'])",
147,In [153]: frame + series2 Out[153]:          b   d   e   f Utah    0 NaN   3 NaN Ohio    3 NaN   6 NaN Texas   6 NaN   9 NaN Oregon  9 NaN  12 NaN,
147,"If you want to instead broadcast over the columns, matching on the rows, you have to use one of the arithmetic methods. For example:",
147,In [154]: series3 = frame['d'],
147,In [155]: frame      In [156]: series3,
147,Essential Functionality | 131,
148,"Out[155]:            Out[156]:                 b   d   e    Utah       1      Utah    0   1   2    Ohio       4      Ohio    3   4   5    Texas      7      Texas   6   7   8    Oregon    10      Oregon  9  10  11    Name: d                                                  In [157]: frame.sub(series3, axis=0) Out[157]:          b  d  e Utah   -1  0  1 Ohio   -1  0  1 Texas  -1  0  1 Oregon -1  0  1",
148,The axis number that you pass is the  axis to match on . In this case we mean to match on the DataFrame’s row index and broadcast across.,
148,Function application and mapping,
148,NumPy ufuncs (element-wise array methods) work fine with pandas objects:,
148,"In [158]: frame = DataFrame(np.random.randn(4, 3), columns=list('bde'),    .....:                   index=['Utah', 'Ohio', 'Texas', 'Oregon'])",
148,In [159]: frame                           In [160]: np.abs(frame)              Out[159]:                                 Out[160]:                                           b         d         e                     b         d         e Utah   -0.204708  0.478943 -0.519439      Utah    0.204708  0.478943  0.519439 Ohio   -0.555730  1.965781  1.393406      Ohio    0.555730  1.965781  1.393406 Texas   0.092908  0.281746  0.769023      Texas   0.092908  0.281746  0.769023 Oregon  1.246435  1.007189 -1.296221      Oregon  1.246435  1.007189  1.296221,
148,Another frequent operation is applying a function on 1D arrays to each column or row. DataFrame’s  apply  method does exactly this:,
148,In [161]: f = lambda x: x.max() - x.min(),
148,"In [162]: frame.apply(f)        In [163]: frame.apply(f, axis=1) Out[162]:                       Out[163]:                        b    1.802165                   Utah      0.998382               d    1.684034                   Ohio      2.521511               e    2.689627                   Texas     0.676115                                               Oregon    2.542656",
148,"Many of the most common array statistics (like  sum  and  mean ) are DataFrame methods, so using  apply  is not necessary.",
148,"The function passed to  apply  need not return a scalar value, it can also return a Series with multiple values:",
148,"In [164]: def f(x):    .....:     return Series([x.min(), x.max()], index=['min', 'max'])",
148,In [165]: frame.apply(f),
148,132 | Chapter 5:   Getting Started with pandas,
149,Out[165]:              b         d         e min -0.555730  0.281746 -1.296221 max  1.246435  1.965781  1.393406,
149,"Element-wise Python functions can be used, too. Suppose you wanted to compute a formatted string from each floating point value in  frame . You can do this with  applymap :",
149,In [166]: format = lambda x: '%.2f' % x,
149,In [167]: frame.applymap(format) Out[167]:              b     d      e Utah    -0.20  0.48  -0.52 Ohio    -0.56  1.97   1.39 Texas    0.09  0.28   0.77 Oregon   1.25  1.01  -1.30,
149,The reason for the name  applymap  is that Series has a  map  method for applying an ele- ment-wise function:,
149,In [168]: frame['e'].map(format) Out[168]:  Utah      -0.52 Ohio       1.39 Texas      0.77 Oregon    -1.30 Name: e,
149,Sorting and ranking,
149,"Sorting a data set by some criterion is another important built-in operation. To sort lexicographically by row or column index, use the  sort_index  method, which returns a new, sorted object:",
149,"In [169]: obj = Series(range(4), index=['d', 'a', 'b', 'c'])",
149,In [170]: obj.sort_index() Out[170]:  a    1 b    2 c    3 d    0,
149,"With a DataFrame, you can sort by index on either axis:",
149,"In [171]: frame = DataFrame(np.arange(8).reshape((2, 4)), index=['three', 'one'],    .....:                   columns=['d', 'a', 'b', 'c'])",
149,In [172]: frame.sort_index()        In [173]: frame.sort_index(axis=1) Out[172]:                           Out[173]:                                 d  a  b  c                          a  b  c  d                  one    4  5  6  7                   three  1  2  3  0                  three  0  1  2  3                   one    5  6  7  4,
149,Essential Functionality | 133,
150,"The data is sorted in ascending order by default, but can be sorted in descending order, too:",
150,"In [174]: frame.sort_index(axis=1, ascending=False) Out[174]:         d  c  b  a three  0  3  2  1 one    4  7  6  5",
150,"To sort a Series by its values, use its  order  method:",
150,"In [175]: obj = Series([4, 7, -3, 2])",
150,In [176]: obj.order() Out[176]:  2   -3 3    2 0    4 1    7,
150,Any missing values are sorted to the end of the Series by default:,
150,"In [177]: obj = Series([4, np.nan, 7, np.nan, -3, 2])",
150,In [178]: obj.order() Out[178]:  4    -3 5     2 0     4 2     7 1   NaN 3   NaN,
150,"On DataFrame, you may want to sort by the values in one or more columns. To do so, pass one or more column names to the  by  option:",
150,"In [179]: frame = DataFrame({'b': [4, 7, -3, 2], 'a': [0, 1, 0, 1]})",
150,In [180]: frame        In [181]: frame.sort_index(by='b') Out[180]:              Out[181]:                             a  b                   a  b                            0  0  4                2  0 -3                            1  1  7                3  1  2                            2  0 -3                0  0  4                            3  1  2                1  1  7,
150,"To sort by multiple columns, pass a list of names:",
150,"In [182]: frame.sort_index(by=['a', 'b']) Out[182]:     a  b 2  0 -3 0  0  4 3  1  2 1  1  7",
150,134 | Chapter 5:   Getting Started with pandas,
151,"Ranking  is closely related to sorting, assigning ranks from one through the number of valid data points in an array. It is similar to the indirect sort indices produced by  numpy.argsort , except that ties are broken according to a rule. The  rank  methods for Series and DataFrame are the place to look; by default  rank  breaks ties by assigning each group the mean rank:",
151,"In [183]: obj = Series([7, -5, 7, 4, 2, 0, 4])",
151,In [184]: obj.rank() Out[184]:  0    6.5 1    1.0 2    6.5 3    4.5 4    3.0 5    2.0 6    4.5,
151,Ranks can also be assigned according to the order they’re observed in the data:,
151,In [185]: obj.rank(method='first') Out[185]:  0    6 1    1 2    7 3    4 4    3 5    2 6    5,
151,"Naturally, you can rank in descending order, too:",
151,"In [186]: obj.rank(ascending=False, method='max') Out[186]:  0    2 1    7 2    2 3    4 4    5 5    6 6    4",
151,See  Table 5-8  for a list of tie-breaking methods available. DataFrame can compute ranks over the rows or the columns:,
151,"In [187]: frame = DataFrame({'b': [4.3, 7, -3, 2], 'a': [0, 1, 0, 1],    .....:                    'c': [-2, 5, 8, -2.5]})",
151,In [188]: frame        In [189]: frame.rank(axis=1) Out[188]:              Out[189]:                       a    b    c            a  b  c                   0  0  4.3 -2.0         0  2  3  1                   1  1  7.0  5.0         1  1  3  2                   2  0 -3.0  8.0         2  2  1  3                   3  1  2.0 -2.5         3  2  3  1,
151,Essential Functionality | 135,
152,Table 5-8. Tie-breaking methods with rank,
152,Method Description,
152,'average' Default: assign the average rank to each entry in the equal group.,
152,'min' Use the minimum rank for the whole group.,
152,'max' Use the maximum rank for the whole group.,
152,'first' Assign ranks in the order the values appear in the data.,
152,Axis indexes with duplicate values,
152,"Up until now all of the examples I’ve showed you have had unique axis labels (index values). While many pandas functions (like  reindex ) require that the labels be unique, it’s not mandatory. Let’s consider a small Series with duplicate indices:",
152,"In [190]: obj = Series(range(5), index=['a', 'a', 'b', 'b', 'c'])",
152,In [191]: obj Out[191]:  a    0 a    1 b    2 b    3 c    4,
152,The index’s  is_unique  property can tell you whether its values are unique or not:,
152,In [192]: obj.index.is_unique Out[192]: False,
152,Data selection is one of the main things that behaves differently with duplicates. In- dexing a value with multiple entries returns a Series while single entries return a scalar value:,
152,In [193]: obj['a']    In [194]: obj['c'] Out[193]:             Out[194]: 4        a    0                                   a    1,
152,The same logic extends to indexing rows in a DataFrame:,
152,"In [195]: df = DataFrame(np.random.randn(4, 3), index=['a', 'a', 'b', 'b'])",
152,In [196]: df Out[196]:            0         1         2 a  0.274992  0.228913  1.352917 a  0.886429 -2.001637 -0.371843 b  1.669025 -0.438570 -0.539741 b  0.476985  3.248944 -1.021228,
152,In [197]: df.ix['b'] Out[197]:            0         1         2,
152,136 | Chapter 5:   Getting Started with pandas,
153,b  1.669025 -0.438570 -0.539741 b  0.476985  3.248944 -1.021228,
153,Summarizing and Computing Descriptive Statistics,
153,"pandas objects are equipped with a set of common mathematical and statistical meth- ods. Most of these fall into the category of  reductions  or  summary statistics , methods that extract a single value (like the sum or mean) from a Series or a Series of values from the rows or columns of a DataFrame. Compared with the equivalent methods of vanilla NumPy arrays, they are all built from the ground up to exclude missing data. Consider a small DataFrame:",
153,"In [198]: df = DataFrame([[1.4, np.nan], [7.1, -4.5],    .....:                 [np.nan, np.nan], [0.75, -1.3]],    .....:                index=['a', 'b', 'c', 'd'],    .....:                columns=['one', 'two'])",
153,In [199]: df Out[199]:      one  two a  1.40  NaN b  7.10 -4.5 c   NaN  NaN d  0.75 -1.3,
153,Calling DataFrame’s  sum  method returns a Series containing column sums:,
153,In [200]: df.sum() Out[200]:  one    9.25 two   -5.80,
153,Passing  axis=1  sums over the rows instead:,
153,In [201]: df.sum(axis=1) Out[201]:  a    1.40 b    2.60 c     NaN d   -0.55,
153,NA values are excluded unless the entire slice (row or column in this case) is NA. This can be disabled using the  skipna  option:,
153,"In [202]: df.mean(axis=1, skipna=False) Out[202]:  a      NaN b    1.300 c      NaN d   -0.275",
153,See  Table 5-9  for a list of common options for each reduction method options.,
153,Summarizing and Computing Descriptive Statistics | 137,
154,Table 5-9. Options for reduction methods,
154,Method Description,
154,axis Axis to reduce over. 0 for DataFrame’s rows and 1 for columns.,
154,"skipna Exclude missing values,  True  by default.",
154,level Reduce grouped by level if the axis is hierarchically-indexed (MultiIndex).,
154,"Some methods, like  idxmin  and  idxmax , return indirect statistics like the index value where the minimum or maximum values are attained:",
154,In [203]: df.idxmax() Out[203]:  one    b two    d,
154,Other methods are  accumulations :,
154,In [204]: df.cumsum() Out[204]:      one  two a  1.40  NaN b  8.50 -4.5 c   NaN  NaN d  9.25 -5.8,
154,"Another type of method is neither a reduction nor an accumulation.  describe  is one such example, producing multiple summary statistics in one shot:",
154,In [205]: df.describe() Out[205]:              one       two count  3.000000  2.000000 mean   3.083333 -2.900000 std    3.493685  2.262742 min    0.750000 -4.500000 25%    1.075000 -3.700000 50%    1.400000 -2.900000 75%    4.250000 -2.100000 max    7.100000 -1.300000,
154,"On non-numeric data,  describe  produces alternate summary statistics:",
154,"In [206]: obj = Series(['a', 'a', 'b', 'c'] * 4)",
154,In [207]: obj.describe() Out[207]:  count     16 unique     3 top        a freq       8,
154,See  Table 5-10  for a full list of summary statistics and related methods.,
154,138 | Chapter 5:   Getting Started with pandas,
155,Table 5-10. Descriptive and summary statistics,
155,Method Description,
155,count Number of non-NA values,
